id,created_at,text
1366622131329536000,2021-03-02 05:31:21,"b""RT @amitmishra7292: @ThePushpendra_ I think Mr Kejriwal please don't forget about the pople who was suffered in  covid  time ,they want onl\xe2\x80\xa6"""
1366622131224723464,2021-03-02 05:31:21,"b""RT @kerrydougherty: We are paying a terrible price for the media's blind, unquestioning acceptance of lockdowns. We should never trust them\xe2\x80\xa6"""
1366622130859728904,2021-03-02 05:31:21,"b'RT @uni_marin: // racism\n\n#StopAsianHate please help spread awareness, racism towards asians has increased and become so severe with the CO\xe2\x80\xa6'"
1366622130666889218,2021-03-02 05:31:21,"b""RT @CTVNews: AstraZeneca COVID-19 vaccine 'not recommended' in people 65 and older: NACI https://t.co/Uyzg9BgFTt https://t.co/voWJTnWacx"""
1366622129739939844,2021-03-02 05:31:20,"b'RT @kaytwo5280: My coworker, 35 yrs old, athletic, no pre-existing conditions, just died of COVID after 10 wks in the ICU. \n\nStop pretendin\xe2\x80\xa6'"
1366622128829657089,2021-03-02 05:31:20,b'RT @StevenDialFox4: The Dallas Skyline is Amber to remember lives from covid. \nMayor @Johnson4Dallas proclaimed today as \xe2\x80\x9cCovid-19 Victims\xe2\x80\xa6'
1366622128427081730,2021-03-02 05:31:20,b'RT @ArkhamTexan: @Stonekettle My dad died of COVID last night after 1.5 months in a hospital. His MIL died of COVID last week in the same h\xe2\x80\xa6'
1366622128200503296,2021-03-02 05:31:20,b'RT @MaryLTrump: The Disgraced Former Occupant convinced tens of millions of people that Covid was a hoax and did nothing to stop the spread\xe2\x80\xa6'
1366622127470743554,2021-03-02 05:31:20,b'@classiclib3ral @chick_in_kiev This what no cosplaying shirtless in the snowy woods with foam battle axes because of Covid does to a MF.'
1366622126438981634,2021-03-02 05:31:20,"b'RT @nuicemedia: For those who lost your jobs, your, friends, or family members due to Covid, we offer our sincere condolences. You have eve\xe2\x80\xa6'"
1366622126090817536,2021-03-02 05:31:20,b'@NewstalkZB The lady who answered my 105 call could not explain why police still have not prosecuted or laid charge\xe2\x80\xa6 https://t.co/2tx7bxIIgC'
